date,label,run,scenario,ws,privws,commit,peakws,threads,handles,children,tree_ws,tree_privws,tree_commit,note
2026-09-25 10:19,v0.6.3-dist,1,S1,93.4,49.1,181.9,101.1,18,484,2,18.2,3.6,5.9,Full mode (S2-S4 three tabs)
2026-09-25 10:19,v0.6.3-dist,1,S2,98.2,53.4,235.7,101.1,21,512,6,54.7,10.7,23.6,Full mode (S2-S4 three tabs)
2026-09-25 10:20,v0.6.3-dist,1,S3,131.4,86.3,244.8,133.7,21,512,6,54.8,10.7,17.5,Full mode (S2-S4 three tabs)
2026-09-25 10:20,v0.6.3-dist,1,S4,96.2,51.1,183.7,133.7,14,488,2,18.2,3.5,5.8,Full mode (S2-S4 three tabs)
2026-09-25 10:22,v0.6.3-dist,1,S5,97.1,51.4,184.3,133.7,15,494,4,18.2,3.5,5.8,Full mode (S2-S4 three tabs)
2026-09-25 10:22,gpui-floor,1,S1,98.6,43.1,85.4,140.4,12,451,0,0,0,0,
2026-09-25 10:26,main,1,S1,93.8,49.4,182.2,101,18,487,2,18.2,3.5,5.9,Full mode (S2-S4 three tabs)
2026-09-25 10:27,main,1,S2,97.9,53.1,235.1,101,21,515,6,54.7,10.7,23.6,Full mode (S2-S4 three tabs)
2026-09-25 10:27,main,1,S3,131.6,86.5,245,133.3,21,515,6,54.6,10.6,17.5,Full mode (S2-S4 three tabs)
2026-09-25 10:28,main,1,S4,96.3,51.1,183.7,133.3,14,491,2,18.2,3.5,5.8,Full mode (S2-S4 three tabs)
2026-09-25 10:30,main,1,S5,96.5,51.2,183.8,133.3,15,496,4,32,5.2,8.5,Full mode (S2-S4 three tabs)
2026-09-25 10:30,main,2,S1,93.8,49.3,182.3,100.8,19,489,2,18.2,3.5,5.8,Full mode (S2-S4 three tabs)
2026-09-25 10:31,main,2,S2,98.3,53.5,235.6,100.8,22,515,6,54.6,10.6,22.5,Full mode (S2-S4 three tabs)
2026-09-25 10:31,main,2,S3,131.8,86.6,245.2,134,22,515,6,54.6,10.6,17.5,Full mode (S2-S4 three tabs)
2026-09-25 10:32,main,2,S4,96.7,51.4,184.1,134,15,491,2,18.2,3.5,5.8,Full mode (S2-S4 three tabs)
2026-09-25 10:34,main,2,S5,96.8,51.6,184.2,134,15,494,5,47.2,9.5,16.5,Full mode (S2-S4 three tabs)
2026-09-25 10:34,v0.4.2-dist,1,S1,100.7,46.6,159.2,109.3,20,486,2,18.4,3.5,5.8,
